image,class
train_1\pose-p1-1.mp4_frame400.jpg,p1
train_1\pose-p1-1.mp4_frame401.jpg,p1
train_1\pose-p1-1.mp4_frame402.jpg,p1
train_1\pose-p1-1.mp4_frame403.jpg,p1
train_1\pose-p1-1.mp4_frame404.jpg,p1
train_1\pose-p1-1.mp4_frame405.jpg,p1
train_1\pose-p1-1.mp4_frame406.jpg,p1
train_1\pose-p1-1.mp4_frame407.jpg,p1
train_1\pose-p1-1.mp4_frame408.jpg,p1
train_1\pose-p1-1.mp4_frame409.jpg,p1
train_1\pose-p1-1.mp4_frame41.jpg,p1
train_1\pose-p1-1.mp4_frame410.jpg,p1
train_1\pose-p1-1.mp4_frame411.jpg,p1
train_1\pose-p1-1.mp4_frame412.jpg,p1
train_1\pose-p1-1.mp4_frame413.jpg,p1
train_1\pose-p1-1.mp4_frame414.jpg,p1
train_1\pose-p1-1.mp4_frame415.jpg,p1
train_1\pose-p1-1.mp4_frame416.jpg,p1
train_1\pose-p1-1.mp4_frame417.jpg,p1
train_1\pose-p1-1.mp4_frame418.jpg,p1
train_1\pose-p1-1.mp4_frame419.jpg,p1
train_1\pose-p1-1.mp4_frame42.jpg,p1
train_1\pose-p1-1.mp4_frame420.jpg,p1
train_1\pose-p1-1.mp4_frame421.jpg,p1
train_1\pose-p1-1.mp4_frame422.jpg,p1
train_1\pose-p1-1.mp4_frame423.jpg,p1
train_1\pose-p1-1.mp4_frame424.jpg,p1
train_1\pose-p1-1.mp4_frame425.jpg,p1
train_1\pose-p1-1.mp4_frame426.jpg,p1
train_1\pose-p1-1.mp4_frame427.jpg,p1
train_1\pose-p1-1.mp4_frame428.jpg,p1
train_1\pose-p1-1.mp4_frame429.jpg,p1
train_1\pose-p1-1.mp4_frame43.jpg,p1
train_1\pose-p1-1.mp4_frame430.jpg,p1
train_1\pose-p1-1.mp4_frame431.jpg,p1
train_1\pose-p1-1.mp4_frame432.jpg,p1
train_1\pose-p1-1.mp4_frame433.jpg,p1
train_1\pose-p1-1.mp4_frame434.jpg,p1
train_1\pose-p1-1.mp4_frame435.jpg,p1
train_1\pose-p1-1.mp4_frame436.jpg,p1
train_1\pose-p1-1.mp4_frame437.jpg,p1
train_1\pose-p1-1.mp4_frame438.jpg,p1
train_1\pose-p1-1.mp4_frame439.jpg,p1
train_1\pose-p1-1.mp4_frame44.jpg,p1
train_1\pose-p1-1.mp4_frame440.jpg,p1
train_1\pose-p1-1.mp4_frame441.jpg,p1
train_1\pose-p1-1.mp4_frame442.jpg,p1
train_1\pose-p1-1.mp4_frame443.jpg,p1
train_1\pose-p1-1.mp4_frame444.jpg,p1
train_1\pose-p1-1.mp4_frame445.jpg,p1
train_1\pose-p1-1.mp4_frame446.jpg,p1
train_1\pose-p1-1.mp4_frame447.jpg,p1
train_1\pose-p1-1.mp4_frame448.jpg,p1
train_1\pose-p1-1.mp4_frame449.jpg,p1
train_1\pose-p1-1.mp4_frame45.jpg,p1
train_1\pose-p1-1.mp4_frame450.jpg,p1
train_1\pose-p1-1.mp4_frame451.jpg,p1
train_1\pose-p1-1.mp4_frame452.jpg,p1
train_1\pose-p1-1.mp4_frame453.jpg,p1
train_1\pose-p1-1.mp4_frame454.jpg,p1
train_1\pose-p1-1.mp4_frame455.jpg,p1
train_1\pose-p1-1.mp4_frame456.jpg,p1
train_1\pose-p1-1.mp4_frame457.jpg,p1
train_1\pose-p1-1.mp4_frame458.jpg,p1
train_1\pose-p1-1.mp4_frame459.jpg,p1
train_1\pose-p1-1.mp4_frame46.jpg,p1
train_1\pose-p1-1.mp4_frame460.jpg,p1
train_1\pose-p1-1.mp4_frame461.jpg,p1
train_1\pose-p1-1.mp4_frame462.jpg,p1
train_1\pose-p1-1.mp4_frame463.jpg,p1
train_1\pose-p1-1.mp4_frame464.jpg,p1
train_1\pose-p1-1.mp4_frame465.jpg,p1
train_1\pose-p1-1.mp4_frame466.jpg,p1
train_1\pose-p1-1.mp4_frame467.jpg,p1
train_1\pose-p1-1.mp4_frame468.jpg,p1
train_1\pose-p1-1.mp4_frame469.jpg,p1
train_1\pose-p1-1.mp4_frame47.jpg,p1
train_1\pose-p1-1.mp4_frame470.jpg,p1
train_1\pose-p1-1.mp4_frame471.jpg,p1
train_1\pose-p1-1.mp4_frame472.jpg,p1
train_1\pose-p1-1.mp4_frame473.jpg,p1
train_1\pose-p1-1.mp4_frame474.jpg,p1
train_1\pose-p1-1.mp4_frame475.jpg,p1
train_1\pose-p1-1.mp4_frame476.jpg,p1
train_1\pose-p1-1.mp4_frame477.jpg,p1
train_1\pose-p1-1.mp4_frame478.jpg,p1
train_1\pose-p1-1.mp4_frame479.jpg,p1
train_1\pose-p1-1.mp4_frame48.jpg,p1
train_1\pose-p1-1.mp4_frame480.jpg,p1
train_1\pose-p1-1.mp4_frame481.jpg,p1
train_1\pose-p1-1.mp4_frame482.jpg,p1
train_1\pose-p1-1.mp4_frame483.jpg,p1
train_1\pose-p1-1.mp4_frame484.jpg,p1
train_1\pose-p1-1.mp4_frame485.jpg,p1
train_1\pose-p1-1.mp4_frame486.jpg,p1
train_1\pose-p1-1.mp4_frame487.jpg,p1
train_1\pose-p1-1.mp4_frame488.jpg,p1
train_1\pose-p1-1.mp4_frame489.jpg,p1
train_1\pose-p1-1.mp4_frame49.jpg,p1
train_1\pose-p1-1.mp4_frame490.jpg,p1
train_1\pose-p1-1.mp4_frame491.jpg,p1
train_1\pose-p1-1.mp4_frame492.jpg,p1
train_1\pose-p1-1.mp4_frame493.jpg,p1
train_1\pose-p1-1.mp4_frame494.jpg,p1
train_1\pose-p1-1.mp4_frame495.jpg,p1
train_1\pose-p1-1.mp4_frame496.jpg,p1
train_1\pose-p1-1.mp4_frame497.jpg,p1
train_1\pose-p1-1.mp4_frame498.jpg,p1
train_1\pose-p1-1.mp4_frame499.jpg,p1
train_1\pose-p1-1.mp4_frame5.jpg,p1
train_1\pose-p1-1.mp4_frame50.jpg,p1
train_1\pose-p1-1.mp4_frame500.jpg,p1
train_1\pose-p1-1.mp4_frame501.jpg,p1
train_1\pose-p1-1.mp4_frame502.jpg,p1
train_1\pose-p1-1.mp4_frame503.jpg,p1
train_1\pose-p1-1.mp4_frame504.jpg,p1
train_1\pose-p1-1.mp4_frame505.jpg,p1
train_1\pose-p1-1.mp4_frame506.jpg,p1
train_1\pose-p1-1.mp4_frame507.jpg,p1
train_1\pose-p1-1.mp4_frame508.jpg,p1
train_1\pose-p1-1.mp4_frame509.jpg,p1
train_1\pose-p1-1.mp4_frame51.jpg,p1
train_1\pose-p1-1.mp4_frame510.jpg,p1
train_1\pose-p1-1.mp4_frame511.jpg,p1
train_1\pose-p1-1.mp4_frame512.jpg,p1
train_1\pose-p1-1.mp4_frame513.jpg,p1
train_1\pose-p1-1.mp4_frame514.jpg,p1
train_1\pose-p1-1.mp4_frame515.jpg,p1
train_1\pose-p1-1.mp4_frame516.jpg,p1
train_1\pose-p1-1.mp4_frame517.jpg,p1
train_1\pose-p1-1.mp4_frame518.jpg,p1
train_1\pose-p1-1.mp4_frame519.jpg,p1
train_1\pose-p1-1.mp4_frame52.jpg,p1
train_1\pose-p1-1.mp4_frame520.jpg,p1
train_1\pose-p1-1.mp4_frame521.jpg,p1
train_1\pose-p1-1.mp4_frame522.jpg,p1
train_1\pose-p1-1.mp4_frame523.jpg,p1
train_1\pose-p1-1.mp4_frame524.jpg,p1
train_1\pose-p1-1.mp4_frame525.jpg,p1
train_1\pose-p1-1.mp4_frame526.jpg,p1
train_1\pose-p1-1.mp4_frame527.jpg,p1
train_1\pose-p1-1.mp4_frame528.jpg,p1
train_1\pose-p1-1.mp4_frame529.jpg,p1
train_1\pose-p1-1.mp4_frame53.jpg,p1
train_1\pose-p1-1.mp4_frame530.jpg,p1
train_1\pose-p1-1.mp4_frame531.jpg,p1
train_1\pose-p1-1.mp4_frame532.jpg,p1
train_1\pose-p1-1.mp4_frame533.jpg,p1
train_1\pose-p1-1.mp4_frame534.jpg,p1
train_1\pose-p1-1.mp4_frame535.jpg,p1
train_1\pose-p1-1.mp4_frame536.jpg,p1
train_1\pose-p1-1.mp4_frame537.jpg,p1
train_1\pose-p1-1.mp4_frame538.jpg,p1
train_1\pose-p1-1.mp4_frame539.jpg,p1
train_1\pose-p1-1.mp4_frame54.jpg,p1
train_1\pose-p1-1.mp4_frame540.jpg,p1
train_1\pose-p1-1.mp4_frame541.jpg,p1
train_1\pose-p1-1.mp4_frame542.jpg,p1
train_1\pose-p1-1.mp4_frame543.jpg,p1
train_1\pose-p1-1.mp4_frame544.jpg,p1
train_1\pose-p1-1.mp4_frame545.jpg,p1
train_1\pose-p1-1.mp4_frame546.jpg,p1
train_1\pose-p1-1.mp4_frame547.jpg,p1
train_1\pose-p1-1.mp4_frame548.jpg,p1
train_1\pose-p1-1.mp4_frame549.jpg,p1
train_1\pose-p1-1.mp4_frame55.jpg,p1
train_1\pose-p1-1.mp4_frame550.jpg,p1
train_1\pose-p1-1.mp4_frame551.jpg,p1
train_1\pose-p1-1.mp4_frame552.jpg,p1
train_1\pose-p1-1.mp4_frame553.jpg,p1
train_1\pose-p1-1.mp4_frame554.jpg,p1
train_1\pose-p1-1.mp4_frame555.jpg,p1
train_1\pose-p1-1.mp4_frame556.jpg,p1
train_1\pose-p1-1.mp4_frame557.jpg,p1
train_1\pose-p1-1.mp4_frame558.jpg,p1
train_1\pose-p1-1.mp4_frame559.jpg,p1
train_1\pose-p1-1.mp4_frame56.jpg,p1
train_1\pose-p1-1.mp4_frame560.jpg,p1
train_1\pose-p1-1.mp4_frame561.jpg,p1
train_1\pose-p1-1.mp4_frame562.jpg,p1
train_1\pose-p1-1.mp4_frame563.jpg,p1
train_1\pose-p1-1.mp4_frame564.jpg,p1
